Positive offset of 08-0223 (time: 4:33, m?: false) (scrape: 160, official: 168): 8
Positive offset of 08-2601 (time: 6:00, m?: false) (scrape: 98, official: 111): 13
Positive offset of 08-2797 (time: 4:57, m?: false) (scrape: 138, official: 146): 8
Positive offset of 08-1402 (time: 5:57, m?: false) (scrape: 82, official: 90): 8
Positive offset of 08-0079 (time: 5:44, m?: false) (scrape: 112, official: 120): 8
Positive offset of 08-1943 (time: 5:35, m?: false) (scrape: 168, official: 176): 8
Positive offset of 08-1980 (time: 6:03, m?: false) (scrape: 118, official: 126): 8
Positive offset of 08-2473 (time: 5:21, m?: false) (scrape: 91, official: 99): 8
Positive offset of 08-2470 (time: 5:20, m?: false) (scrape: 126, official: 134): 8
Positive offset of 08-1296 (time: 6:04, m?: false) (scrape: 105, official: 113): 8
Positive offset of 08-1605 (time: 5:38, m?: false) (scrape: 92, official: 100): 8
