team_id,location,time,official_round_1_score,scraped_round_1_score,warned_multi_instances,warned_time,score_delta
08-2235,ajrotc,5:45,84,92,false,false,8
08-2221,afjrotc,5:07,128,136,false,false,8
08-0072,njrotc,5:53,101,109,true,false,8
08-2111,njrotc,5:52,117,125,false,false,8
08-0174,cap,3:35,144,152,false,false,8
08-2623,cap,3:44,100,108,false,false,8
08-1424,afjrotc,5:36,143,151,false,false,8
08-2082,afjrotc,5:35,109,117,false,false,8
08-2114,cap,2:40,48,56,false,false,8
08-1805,afjrotc,2:27,154,162,false,false,8
08-3377,cap,2:18,63,71,false,false,8
08-1749,afjrotc,6:03,65,73,false,true,8
08-3113,cap,5:59,118,126,false,false,8
08-2063,cap,5:54,80,88,false,false,8
08-0056,afjrotc,6:27,114,122,false,true,8
08-2805,afjrotc,6:30,92,100,false,true,8
08-1231,afjrotc,5:03,137,145,false,false,8
08-1597,afjrotc,3:00,29,37,false,false,8
08-2036,cap,5:48,125,133,false,false,8
08-2196,mcjrotc,1:45,50,58,false,false,8
08-2354,cap,5:57,153,161,false,false,8
08-1467,cap,6:07,61,69,false,true,8
08-3038,cap,6:06,133,141,false,true,8
08-1801,cap,4:13,136,144,false,false,8
08-1230,afjrotc,3:15,161,169,false,false,8
08-1516,cap,4:01,99,107,false,false,8
08-1798,cap,5:57,180,188,false,false,8
08-1393,afjrotc,5:28,149,157,false,false,8
08-1376,cap,4:51,88,96,false,false,8
08-3320,njrotc,5:08,121,129,false,false,8
08-2011,afjrotc,5:05,101,109,false,false,8
08-0544,cap,6:02,157,170,false,true,13
08-0322,afjrotc,5:45,139,147,false,false,8
08-2855,cap,6:19,152,160,false,true,8
08-2854,cap,5:43,114,122,false,false,8
08-1579,cap,6:08,170,178,false,true,8
08-1349,njrotc,4:26,112,120,false,false,8
08-1010,cap,5:53,186,194,false,false,8
08-1011,cap,5:45,143,151,false,false,8
08-3436,cap,4:58,149,157,false,false,8
08-1423,cap,5:51,176,184,false,false,8
08-2238,cap,4:01,155,163,false,false,8
08-1019,nscc,3:38,168,176,false,false,8
08-1379,njrotc,6:05,154,162,false,true,8
08-2192,mcjrotc,5:34,187,100,false,false,-87
08-1286,afjrotc,5:49,169,177,false,false,8
08-2185,afjrotc,5:54,158,166,false,false,8
08-1645,cap,5:29,108,116,false,false,8
08-1646,cap,5:44,91,99,false,false,8
08-0199,cap,5:27,146,154,false,false,8
08-0610,cap,6:00,126,134,false,false,8
08-0266,cap,6:03,159,167,false,true,8
08-1557,cap,4:09,78,86,false,false,8
